"2020-05-25:13:00;33;34153;510823
"2020-05-25:14:00;38;37283;532948
"2020-05-25:15:00;36;40350;572111
"2020-05-25:16:00;95;34500;536250
"2020-05-25:17:00;36;31364;483587
"2020-05-25:18:00;25;27789;400304
"2020-05-25:19:00;28;24028;338208
"2020-05-25:20:00;33;23797;322892
"2020-05-25:21:00;20;17881;219685
"2020-05-25:22:00;20;12128;135980
"2020-05-25:23:00;17;9629;144074
"2020-05-26:00:00;16;6967;69085
"2020-05-26:01:00;16;6484;68384
"2020-05-26:02:00;18;6494;68238
"2020-05-26:03:00;24;6443;66987
"2020-05-26:04:00;21;2237;42426
"2020-05-26:05:00;17;573;25140
"2020-05-26:06:00;17;1569;36747
"2020-05-26:07:00;17;5123;85793
"2020-05-26:08:00;20;12663;203311
"2020-05-26:09:00;34;24901;467867
"2020-05-26:10:00;40;30002;549219
"2020-05-26:11:00;37;30574;553399
"2020-05-26:12:00;35;29408;498509
"2020-05-26:13:00;38;29875;506926
"2020-05-26:14:00;37;32381;528984
"2020-05-26:15:00;40;33689;554058
"2020-05-26:16:00;99;29377;510796
"2020-05-26:17:00;37;26104;445247
"2020-05-26:18:00;28;22165;366989
"2020-05-26:19:00;25;18770;311038
"2020-05-26:20:00;30;15235;251627
"2020-05-26:21:00;21;11587;147237
"2020-05-26:22:00;16;10072;117196
"2020-05-26:23:00;17;3456;32415
"2020-05-27:00:00;15;1257;16801
"2020-05-27:01:00;17;445;12218
"2020-05-27:02:00;15;415;11227
"2020-05-27:03:00;17;439;10776
"2020-05-27:04:00;16;429;10442
"2020-05-27:05:00;16;469;11359
"2020-05-27:06:00;15;1327;23179
"2020-05-27:07:00;18;5665;72283
"2020-05-27:08:00;22;13006;221777
"2020-05-27:09:00;30;26491;479310
"2020-05-27:10:00;39;29864;517795
"2020-05-27:11:00;40;33713;534960
"2020-05-27:12:00;31;28592;466964
"2020-05-27:13:00;36;29618;477093
"2020-05-27:14:00;36;33087;514033
"2020-05-27:15:00;42;34919;544888
"2020-05-27:16:00;41;32040;544499
"2020-05-27:17:00;42;24925;1008964
"2020-05-27:18:00;29;19832;396293
"2020-05-27:19:00;25;18425;282918
"2020-05-27:20:00;36;15190;233069
"2020-05-27:21:00;19;13407;149448
"2020-05-27:22:00;18;6626;110333
"2020-05-27:23:00;15;3799;72809
"2020-05-28:00:00;11;1192;36304
"2020-05-28:01:00;22;993;24135
"2020-05-28:02:00;13;501;13062
